finding_id,title,cyber_domain,description,severity,likelihood,affected_assets,business_criticality,remediation_complexity,estimated_low_cost,estimated_base_cost,estimated_high_cost,remediation_time_months,pre_close_relevance,day_1_relevance,integration_relevance
F-001,MFA not enforced for all privileged accounts,Identity & Access Management,Management reports that a subset of privileged administrator accounts does not enforce MFA; population and exception paths remain to be validated.,High,High,32,Critical,Medium,150000,300000,550000,2,1,1,1
F-002,Privileged-access reviews are inconsistent,Identity & Access Management,Periodic access certification is incomplete across business units.,High,High,18,High,Medium,120000,220000,360000,4,1,1,1
F-003,Critical legacy ERP uses unsupported technology,Infrastructure Security,The core ERP version is reported outside standard vendor support; exposure and extended-support arrangements require validation.,High,High,1,Critical,High,700000,1600000,3000000,18,1,0,1
F-004,Security patching exceeds target timelines,Infrastructure Security,A sample of critical server patches exceeded the synthetic policy target; exploitability and the complete overdue population are unconfirmed.,High,Medium,46,High,Medium,250000,500000,850000,6,1,1,1
F-005,Logging coverage is incomplete,Security Operations,Several critical systems are reported not to forward complete security logs; alert coverage and alternative telemetry require testing.,High,Medium,9,Critical,Medium,250000,500000,900000,6,1,1,1
F-006,Incident-response exercises are overdue,Security Operations,No enterprise simulation evidence was provided for the illustrative review period; this does not by itself establish ineffective incident response.,Medium,Medium,18,High,Low,40000,80000,150000,2,1,1,0
F-007,Sensitive customer information is not consistently encrypted,Data Protection,Management reports inconsistent encryption across databases holding synthetic customer data; data elements jurisdictions and compensating controls remain unverified.,High,Medium,6,Critical,High,400000,800000,1400000,9,1,1,1
F-008,Data-retention rules are inconsistently implemented,Data Protection,Retention schedules are not technically enforced in several repositories.,Medium,Medium,12,Medium,Medium,140000,260000,420000,6,0,0,1
F-009,Critical-vendor assessments are incomplete,Third-Party Risk,Security assessments are missing or stale for multiple vendors designated critical; contract rights concentration and known issues require review.,Medium,Medium,14,High,Medium,140000,260000,480000,6,1,0,1
F-010,Cybersecurity accountabilities are unclear,Governance,Business and technology security responsibilities are not consistently documented.,Medium,Medium,8,Medium,Low,50000,90000,150000,3,0,0,1
F-011,Risk exceptions lack expiry dates,Governance,Several accepted cyber exceptions have no approval expiry or review trigger.,Medium,High,21,Medium,Low,40000,80000,130000,2,0,0,0
F-012,Secure development controls are inconsistent,Application Security,Development teams use inconsistent code review and security testing gates.,High,Medium,24,High,High,400000,750000,1200000,9,0,0,1
F-013,Disaster recovery testing is incomplete,Resilience,Recovery evidence supplied does not demonstrate end-to-end recovery for several critical applications; achievable recovery objectives remain unconfirmed.,High,Medium,7,Critical,High,250000,500000,900000,9,1,1,1
F-014,Cloud configuration baseline coverage is partial,Cloud Security,Automated configuration monitoring does not cover all cloud subscriptions.,Medium,High,11,High,Medium,220000,380000,620000,5,0,1,1
