finding_id,title,cyber_domain,description,severity,likelihood,affected_assets,business_criticality,remediation_complexity,estimated_low_cost,estimated_base_cost,estimated_high_cost,remediation_time_months,pre_close_relevance,day_1_relevance,integration_relevance
F-001,MFA not enforced for all privileged accounts,Identity & Access Management,Privileged administrator accounts do not consistently enforce MFA.,Critical,High,32,Critical,Medium,250000,450000,700000,3,1,1,1
F-002,Privileged-access reviews are inconsistent,Identity & Access Management,Periodic access certification is incomplete across business units.,High,High,18,High,Medium,120000,220000,360000,4,1,1,1
F-003,Critical legacy ERP uses unsupported technology,Infrastructure Security,The core ERP platform is outside vendor support and requires replacement planning.,Critical,High,1,Critical,High,1200000,2100000,3400000,12,1,0,1
F-004,Security patching exceeds target timelines,Infrastructure Security,Critical server patches regularly exceed the synthetic policy target.,High,High,46,High,Medium,300000,550000,900000,6,1,1,1
F-005,Logging coverage is incomplete,Security Operations,Several critical systems do not forward complete security logs.,High,High,9,Critical,Medium,350000,600000,950000,4,1,1,1
F-006,Incident-response exercises are overdue,Security Operations,No enterprise simulation has been completed during the illustrative review period.,Medium,Medium,18,High,Low,60000,110000,180000,2,1,1,0
F-007,Sensitive customer information is not consistently encrypted,Data Protection,Encryption controls vary across databases holding synthetic customer data.,Critical,Medium,6,Critical,High,500000,900000,1500000,8,1,1,1
F-008,Data-retention rules are inconsistently implemented,Data Protection,Retention schedules are not technically enforced in several repositories.,Medium,Medium,12,Medium,Medium,140000,260000,420000,6,0,0,1
F-009,Critical-vendor assessments are incomplete,Third-Party Risk,Security assessments are missing or stale for multiple critical vendors.,High,Medium,14,High,Medium,180000,320000,520000,5,1,0,1
F-010,Cybersecurity accountabilities are unclear,Governance,Business and technology security responsibilities are not consistently documented.,Medium,Medium,8,Medium,Low,50000,90000,150000,3,0,0,1
F-011,Risk exceptions lack expiry dates,Governance,Several accepted cyber exceptions have no approval expiry or review trigger.,Medium,High,21,Medium,Low,40000,80000,130000,2,0,0,0
F-012,Secure development controls are inconsistent,Application Security,Development teams use inconsistent code review and security testing gates.,High,Medium,24,High,High,400000,750000,1200000,9,0,0,1
F-013,Disaster recovery testing is incomplete,Resilience,Recovery tests do not cover several critical applications end to end.,High,Medium,7,Critical,High,280000,500000,850000,6,1,1,1
F-014,Cloud configuration baseline coverage is partial,Cloud Security,Automated configuration monitoring does not cover all cloud subscriptions.,Medium,High,11,High,Medium,220000,380000,620000,5,0,1,1
