finding_id,title,cyber_domain,description,severity,likelihood,affected_assets,business_criticality,remediation_complexity,estimated_low_cost,estimated_base_cost,estimated_high_cost,remediation_time_months,pre_close_relevance,day_1_relevance,integration_relevance
G-001,Unsupported operating systems support production,Infrastructure Security,Multiple production servers and engineering workstations are reported outside standard vendor support; exact versions and isolation require validation.,Critical,High,58,Critical,High,1800000,3200000,5200000,24,1,1,1
G-002,Core manufacturing platform lacks a funded replacement plan,Infrastructure Security,A bespoke production platform relies on obsolete components and has no approved migration business case.,Critical,High,4,Critical,High,2500000,4500000,7500000,30,1,1,1
G-003,Flat network paths connect corporate and operational environments,Infrastructure Security,Network diagrams indicate broad connectivity between corporate services and selected operational systems.,High,High,42,Critical,High,900000,1700000,3000000,18,1,1,1
G-004,Privileged access uses shared administrator credentials,Identity & Access Management,Shared privileged credentials are reported across legacy infrastructure support teams.,Critical,High,24,Critical,High,450000,850000,1400000,9,1,1,1
G-005,Security logging is limited on legacy platforms,Security Operations,Several critical legacy platforms cannot forward complete telemetry to the central monitoring service.,High,High,31,Critical,High,600000,1100000,1900000,15,1,1,1
G-006,Recovery testing excludes operational technology dependencies,Resilience,Recovery tests do not demonstrate restoration of production scheduling and operational dependencies.,High,Medium,12,Critical,High,500000,950000,1700000,15,1,1,1
G-007,Patch backlog includes externally reachable services,Infrastructure Security,A synthetic sample identifies overdue patches on internet-reachable and remote-access services.,High,High,19,High,Medium,300000,600000,1100000,6,1,1,1
G-008,Asset inventory is incomplete,Governance,The infrastructure inventory does not reconcile fully to vulnerability and support records.,Medium,High,80,High,Medium,200000,400000,750000,8,1,0,1
G-009,Incident-response plans do not cover operational shutdown,Security Operations,Response playbooks do not clearly allocate decisions for a cyber-related production shutdown.,High,Medium,8,Critical,Medium,120000,250000,450000,4,1,1,1
G-010,Third-party remote access is inconsistently governed,Third-Party Risk,Maintenance providers use different remote-access methods and review evidence is incomplete.,High,Medium,16,High,Medium,250000,500000,900000,7,1,1,1
